val_loss,step,epoch,train_epoch_time,train_loss
0.6923576593399048,6,0,,
,6,0,5.50006103515625,0.7002819180488586
0.6926983594894409,13,1,,
,13,1,8.467682838439941,0.695426344871521
0.6914672255516052,20,2,,
,20,2,7.820980548858643,0.6926660537719727
0.6930654048919678,27,3,,
,27,3,8.085091590881348,0.6934601664543152
0.6909056901931763,34,4,,
,34,4,8.275988578796387,0.6941492557525635
0.692348062992096,41,5,,
,41,5,7.666178226470947,0.693289041519165
0.6913363933563232,48,6,,
,48,6,9.160587310791016,0.693379819393158
0.6902177333831787,55,7,,
,55,7,8.738201141357422,0.6904216408729553
0.6897100210189819,62,8,,
,62,8,8.731112480163574,0.6920282244682312
0.688607931137085,69,9,,
,69,9,8.785664558410645,0.690981388092041
0.6901456117630005,76,10,,
,76,10,8.939475059509277,0.690629243850708
0.6882011890411377,83,11,,
,83,11,8.800086975097656,0.6892754435539246
0.6904780864715576,90,12,,
,90,12,9.600479125976562,0.6899793148040771
0.6842546463012695,97,13,,
,97,13,9.360106468200684,0.693270206451416
0.6929500699043274,104,14,,
,104,14,9.654085159301758,0.6868286728858948
0.6886365413665771,111,15,,
,111,15,9.4162015914917,0.6906479597091675
0.6871482133865356,118,16,,
,118,16,9.399983406066895,0.689183235168457
0.6946746706962585,125,17,,
,125,17,9.533344268798828,0.6879792809486389
0.6790801286697388,132,18,,
,132,18,9.500922203063965,0.6854680180549622
0.6825853586196899,139,19,,
,139,19,9.437482833862305,0.688752293586731
0.6822998523712158,146,20,,
,146,20,8.590469360351562,0.6827304363250732
0.6768103241920471,153,21,,
,153,21,7.674532413482666,0.6828675270080566
0.6714171171188354,160,22,,
,160,22,8.275731086730957,0.6788702011108398
0.6254306435585022,167,23,,
,167,23,9.403462409973145,0.6617032289505005
0.6341426372528076,174,24,,
,174,24,8.177225112915039,0.6154994368553162
0.5659104585647583,181,25,,
,181,25,9.878715515136719,0.6000945568084717
0.5268265604972839,188,26,,
,188,26,9.09605598449707,0.5937149524688721
0.5645074248313904,195,27,,
,195,27,9.39614200592041,0.5744491219520569
0.5423780083656311,202,28,,
,202,28,9.218310356140137,0.5657513737678528
0.5639006495475769,209,29,,
,209,29,9.167760848999023,0.5939162373542786
0.5613800883293152,216,30,,
,216,30,8.81030559539795,0.5558956265449524
0.5641888380050659,223,31,,
,223,31,8.803709030151367,0.5635442733764648
0.5216032266616821,230,32,,
,230,32,8.822396278381348,0.5800435543060303
0.5745364427566528,237,33,,
,237,33,8.833303451538086,0.5860307216644287
0.5535160303115845,244,34,,
,244,34,8.648865699768066,0.5689375996589661
0.5175490975379944,251,35,,
,251,35,8.853839874267578,0.5642237663269043
0.5564260482788086,258,36,,
,258,36,8.894283294677734,0.5590500235557556
0.5215036869049072,265,37,,
,265,37,8.995121002197266,0.5688186883926392
0.5981572270393372,272,38,,
,272,38,9.197537422180176,0.5531684756278992
0.5429547429084778,279,39,,
,279,39,8.726070404052734,0.5573850274085999
0.5562800168991089,286,40,,
,286,40,7.980501174926758,0.5816578269004822
0.5471552610397339,293,41,,
,293,41,55.0582275390625,0.550146758556366
0.510002851486206,300,42,,
,300,42,10.240625381469727,0.5685850977897644
0.525875449180603,307,43,,
,307,43,9.18907642364502,0.5488597750663757
0.585842490196228,314,44,,
,314,44,7.921722412109375,0.5538136959075928
0.5866581201553345,321,45,,
,321,45,9.398377418518066,0.5442421436309814
0.5431057214736938,328,46,,
,328,46,8.91683578491211,0.5420640707015991
0.5276699066162109,335,47,,
,335,47,9.087395668029785,0.5577599406242371
0.5339632034301758,342,48,,
,342,48,9.389351844787598,0.5567057132720947
0.5181483030319214,349,49,,
,349,49,9.362967491149902,0.5548977255821228
0.4856579601764679,356,50,,
,356,50,9.413015365600586,0.5363504886627197
0.567731499671936,363,51,,
,363,51,9.412434577941895,0.539372444152832
0.5309770107269287,370,52,,
,370,52,9.611509323120117,0.5423250198364258
0.5467640161514282,377,53,,
,377,53,9.409473419189453,0.5437619686126709
0.5096542239189148,384,54,,
,384,54,8.891486167907715,0.5507233142852783
0.4995190501213074,391,55,,
,391,55,9.069196701049805,0.5260096788406372
0.4334868788719177,398,56,,
,398,56,9.321388244628906,0.545130729675293
0.5048866271972656,405,57,,
,405,57,9.264949798583984,0.5221837162971497
0.4841676652431488,412,58,,
,412,58,9.045305252075195,0.5227058529853821
0.4926379323005676,419,59,,
,419,59,8.344788551330566,0.5382416248321533
0.5215566158294678,426,60,,
,426,60,9.1314697265625,0.5494769215583801
0.5316687226295471,433,61,,
,433,61,8.960274696350098,0.5414848923683167
0.5164039134979248,440,62,,
,440,62,8.318123817443848,0.5325268507003784
0.49473053216934204,447,63,,
,447,63,8.993098258972168,0.5552760362625122
0.4876490831375122,454,64,,
,454,64,8.892278671264648,0.5370476245880127
0.5315679311752319,461,65,,
,461,65,9.325167655944824,0.5480830073356628
0.5170762538909912,468,66,,
,468,66,8.947833061218262,0.5293931365013123
0.48656928539276123,475,67,,
,475,67,8.623771667480469,0.5338048338890076
0.4885086417198181,482,68,,
,482,68,9.399093627929688,0.5143622756004333
0.5461397171020508,489,69,,
,489,69,9.377416610717773,0.5464779734611511
0.4890044927597046,496,70,,
,496,70,9.522200584411621,0.5373976230621338
0.49081629514694214,503,71,,
,503,71,9.762519836425781,0.5324133038520813
0.5189747214317322,510,72,,
,510,72,9.588619232177734,0.5285018086433411
0.4682503938674927,517,73,,
,517,73,9.366499900817871,0.5386184453964233
0.5023500919342041,524,74,,
,524,74,9.84585952758789,0.5229887366294861
0.5118006467819214,531,75,,
,531,75,9.742226600646973,0.5333307385444641
0.48293542861938477,538,76,,
,538,76,9.701170921325684,0.5315948128700256
0.5063516497612,545,77,,
,545,77,9.388108253479004,0.5145624876022339
0.5377132892608643,552,78,,
,552,78,7.990175247192383,0.5299738645553589
0.5187468528747559,559,79,,
,559,79,8.43571662902832,0.5325276851654053
0.5523957014083862,566,80,,
,566,80,8.799580574035645,0.5311630368232727
0.5236927270889282,573,81,,
,573,81,7.706733226776123,0.5447209477424622
0.47518402338027954,580,82,,
,580,82,9.392608642578125,0.5279977917671204
0.5362497568130493,587,83,,
,587,83,9.384334564208984,0.5391491651535034
0.5048571228981018,594,84,,
,594,84,9.231115341186523,0.5212958455085754
0.4952000379562378,601,85,,
,601,85,9.448832511901855,0.515370786190033
0.5140807628631592,608,86,,
,608,86,9.146446228027344,0.5253435969352722
0.4785042405128479,615,87,,
,615,87,9.051271438598633,0.5303519368171692
0.4617103934288025,622,88,,
,622,88,8.928691864013672,0.5297667384147644
0.5370886325836182,629,89,,
,629,89,8.745985984802246,0.525032103061676
0.4868326485157013,636,90,,
,636,90,9.177118301391602,0.5272971391677856
0.4685764014720917,643,91,,
,643,91,9.186361312866211,0.520908772945404
0.457884281873703,650,92,,
,650,92,8.91054630279541,0.5283634066581726
0.4604458212852478,657,93,,
,657,93,9.242783546447754,0.5200009346008301
0.5054134130477905,664,94,,
,664,94,9.141608238220215,0.5375860929489136
0.5204626321792603,671,95,,
,671,95,9.362211227416992,0.5279719829559326
0.46861281991004944,678,96,,
,678,96,9.388851165771484,0.5384942293167114
0.4877142310142517,685,97,,
,685,97,8.848245620727539,0.5211527347564697
0.5183945894241333,692,98,,
,692,98,8.572433471679688,0.5230407118797302
0.4585363268852234,699,99,,
,699,99,8.21401309967041,0.5251978635787964
