val_acc,step,val_loss,epoch,train_epoch_time,train_loss
0.5447680950164795,80,1.4939866065979004,0,,
,80,,0,5.524689674377441,1.641103982925415
0.647249162197113,161,1.4021155834197998,1,,
,161,,1,10.72223949432373,1.4295743703842163
0.6504854559898376,242,1.3764309883117676,2,,
,242,,2,13.36430835723877,1.3334219455718994
0.637001097202301,323,1.390149712562561,3,,
,323,,3,11.480958938598633,1.3097060918807983
0.6278316974639893,404,1.3976562023162842,4,,
,404,,4,11.743247985839844,1.2965818643569946
0.6704422831535339,485,1.388972282409668,5,,
,485,,5,11.830137252807617,1.288787841796875
0.6806904077529907,566,1.3543094396591187,6,,
,566,,6,11.697127342224121,1.286022663116455
0.647249162197113,647,1.3698362112045288,7,,
,647,,7,11.22311019897461,1.2918399572372437
0.6040992736816406,728,1.417474627494812,8,,
,728,,8,11.09410285949707,1.284659504890442
0.7335490584373474,809,1.3666051626205444,9,,
,809,,9,10.855175971984863,1.2881429195404053
0.7060409784317017,890,1.3881382942199707,10,,
,890,,10,11.104515075683594,1.2760233879089355
0.6283710598945618,971,1.3927686214447021,11,,
,971,,11,7.941221714019775,1.2739156484603882
0.6429342031478882,1052,1.3756511211395264,12,,
,1052,,12,11.165821075439453,1.2723685503005981
0.7238403558731079,1133,1.3586171865463257,13,,
,1133,,13,11.693089485168457,1.2675868272781372
0.7259978652000427,1214,1.3606367111206055,14,,
,1214,,14,12.198822021484375,1.2655823230743408
0.6909385323524475,1295,1.3731940984725952,15,,
,1295,,15,12.219340324401855,1.262986421585083
0.6661272644996643,1376,1.3832789659500122,16,,
,1376,,16,11.852838516235352,1.2598073482513428
0.7065803408622742,1457,1.334417462348938,17,,
,1457,,17,11.872509002685547,1.266719102859497
0.6790722608566284,1538,1.3860454559326172,18,,
,1538,,18,12.01120376586914,1.2622556686401367
0.6580366492271423,1619,1.3775925636291504,19,,
,1619,,19,11.8941650390625,1.2567192316055298
0.6639698147773743,1700,1.3695992231369019,20,,
,1700,,20,12.18022346496582,1.2548136711120605
0.6752966642379761,1781,1.3565635681152344,21,,
,1781,,21,12.2217378616333,1.2542040348052979
0.7157497406005859,1862,1.3284671306610107,22,,
,1862,,22,13.67436695098877,1.2558817863464355
0.6882416605949402,1943,1.347184419631958,23,,
,1943,,23,11.486478805541992,1.2524867057800293
0.6877022385597229,2024,1.3672511577606201,24,,
,2024,,24,11.363422393798828,1.2495782375335693
0.6909385323524475,2105,1.359558343887329,25,,
,2105,,25,11.264655113220215,1.247929573059082
0.6688241362571716,2186,1.3766230344772339,26,,
,2186,,26,11.909887313842773,1.2471024990081787
0.6181229948997498,2267,1.4173210859298706,27,,
,2267,,27,9.218310356140137,1.2478563785552979
0.6413160562515259,2348,1.3927165269851685,28,,
,2348,,28,11.412564277648926,1.2475249767303467
0.6725997924804688,2429,1.3664060831069946,29,,
,2429,,29,11.39474105834961,1.243105411529541
0.6812297701835632,2510,1.3725147247314453,30,,
,2510,,30,11.063148498535156,1.260172724723816
0.6974110007286072,2591,1.3478485345840454,31,,
,2591,,31,11.630024909973145,1.25657057762146
0.6769147515296936,2672,1.3652552366256714,32,,
,2672,,32,11.395512580871582,1.3098056316375732
0.45091694593429565,2753,1.5925499200820923,33,,
,2753,,33,11.5961332321167,1.3263047933578491
0.44012945890426636,2834,1.6020077466964722,34,,
,2834,,34,13.19117259979248,1.4487981796264648
0.4234088361263275,2915,1.6185684204101562,35,,
,2915,,35,11.669689178466797,1.4465028047561646
0.6968716382980347,2996,1.347594141960144,36,,
,2996,,36,10.934770584106445,1.3851778507232666
0.6839266419410706,3077,1.3532227277755737,37,,
,3077,,37,10.9840087890625,1.2438666820526123
0.69147789478302,3158,1.3547612428665161,38,,
,3158,,38,11.09229850769043,1.238470435142517
0.6947141289710999,3239,1.347920536994934,39,,
,3239,,39,11.481667518615723,1.2397961616516113
0.708737850189209,3320,1.3362138271331787,40,,
,3320,,40,11.045117378234863,1.2490732669830322
0.6774541735649109,3401,1.368592381477356,41,,
,3401,,41,11.131054878234863,1.2414222955703735
0.7028047442436218,3482,1.3438239097595215,42,,
,3482,,42,11.30683708190918,1.2398172616958618
0.6720604300498962,3563,1.3744500875473022,43,,
,3563,,43,10.20250129699707,1.2376042604446411
0.6979503631591797,3644,1.3488374948501587,44,,
,3644,,44,10.201210021972656,1.2364027500152588
0.6930959820747375,3725,1.353652000427246,45,,
,3725,,45,12.657630920410156,1.2320529222488403
0.6682847738265991,3806,1.3695435523986816,46,,
,3806,,46,11.042163848876953,1.2326411008834839
0.6574972867965698,3887,1.3772766590118408,47,,
,3887,,47,11.270462036132812,1.2273945808410645
0.7119740843772888,3968,1.3327741622924805,48,,
,3968,,48,12.040950775146484,1.2285429239273071
0.6850053668022156,4049,1.3516513109207153,49,,
,4049,,49,11.432952880859375,1.2329797744750977
0.6850053668022156,4130,1.352541208267212,50,,
,4130,,50,11.683340072631836,1.225454568862915
0.6936354041099548,4211,1.3452790975570679,51,,
,4211,,51,10.873465538024902,1.2240607738494873
0.7119740843772888,4292,1.3271414041519165,52,,
,4292,,52,11.419076919555664,1.2166178226470947
0.5717368125915527,4373,1.4707071781158447,53,,
,4373,,53,11.138090133666992,1.2452396154403687
0.5943905115127563,4454,1.4487409591674805,54,,
,4454,,54,12.589451789855957,1.2813160419464111
0.5911542773246765,4535,1.4506847858428955,55,,
,4535,,55,12.333066940307617,1.2818676233291626
0.6094930171966553,4616,1.4325535297393799,56,,
,4616,,56,12.048158645629883,1.2798738479614258
0.6057173609733582,4697,1.437397837638855,57,,
,4697,,57,12.707769393920898,1.2786871194839478
0.5792880058288574,4778,1.462021827697754,58,,
,4778,,58,12.32193374633789,1.279041051864624
0.582524299621582,4859,1.4586230516433716,59,,
,4859,,59,12.556869506835938,1.2814252376556396
0.607874870300293,4940,1.4335933923721313,60,,
,4940,,60,13.031685829162598,1.2791439294815063
0.7216828465461731,5021,1.3181012868881226,61,,
,5021,,61,12.163808822631836,1.2270323038101196
0.598705530166626,5102,1.4418671131134033,62,,
,5102,,62,12.244385719299316,1.2761839628219604
0.6019417643547058,5183,1.4399166107177734,63,,
,5183,,63,12.167157173156738,1.2780324220657349
0.5960086584091187,5264,1.4451096057891846,64,,
,5264,,64,11.95576286315918,1.2781033515930176
0.6057173609733582,5345,1.434844970703125,65,,
,5345,,65,12.12241268157959,1.2767388820648193
0.561488687992096,5426,1.48054039478302,66,,
,5426,,66,12.081271171569824,1.2782580852508545
0.6057173609733582,5507,1.4344203472137451,67,,
,5507,,67,11.963033676147461,1.278381586074829
0.5911542773246765,5588,1.4493236541748047,68,,
,5588,,68,11.868590354919434,1.275789737701416
0.5992448925971985,5669,1.4407395124435425,69,,
,5669,,69,11.680950164794922,1.275473952293396
0.5992448925971985,5750,1.4298138618469238,70,,
,5750,,70,10.989246368408203,1.2745001316070557
0.645091712474823,5831,1.395960807800293,71,,
,5831,,71,10.911357879638672,1.2390691041946411
0.716828465461731,5912,1.325908899307251,72,,
,5912,,72,11.322819709777832,1.2220011949539185
0.7411003112792969,5993,1.3027631044387817,73,,
,5993,,73,11.545052528381348,1.2060667276382446
0.7060409784317017,6074,1.3333489894866943,74,,
,6074,,74,11.962167739868164,1.2118726968765259
0.7653721570968628,6155,1.2817072868347168,75,,
,6155,,75,13.000907897949219,1.2358895540237427
0.7669903039932251,6236,1.2760272026062012,76,,
,6236,,76,12.14305305480957,1.2224773168563843
0.7605177760124207,6317,1.2795660495758057,77,,
,6317,,77,11.844491958618164,1.2127470970153809
0.7130528688430786,6398,1.3260977268218994,78,,
,6398,,78,11.83454418182373,1.208459496498108
0.7610571980476379,6479,1.284691333770752,79,,
,6479,,79,12.250143051147461,1.2109389305114746
0.7400215864181519,6560,1.3011728525161743,80,,
,6560,,80,11.189192771911621,1.2072336673736572
0.7588996887207031,6641,1.2862368822097778,81,,
,6641,,81,11.483067512512207,1.204545497894287
0.7594390511512756,6722,1.2836331129074097,82,,
,6722,,82,12.859216690063477,1.2033401727676392
0.7659115195274353,6803,1.2780598402023315,83,,
,6803,,83,11.488720893859863,1.2015787363052368
0.7588996887207031,6884,1.2847368717193604,84,,
,6884,,84,11.696842193603516,1.2039527893066406
0.7642934322357178,6965,1.2820518016815186,85,,
,6965,,85,11.724874496459961,1.2028931379318237
0.7588996887207031,7046,1.2821147441864014,86,,
,7046,,86,11.586517333984375,1.1978241205215454
0.762135922908783,7127,1.280882716178894,87,,
,7127,,87,11.84601879119873,1.1990792751312256
0.7556634545326233,7208,1.2856062650680542,88,,
,7208,,88,11.173760414123535,1.1978639364242554
0.7518877983093262,7289,1.2886055707931519,89,,
,7289,,89,10.96441650390625,1.1973800659179688
0.7421790957450867,7370,1.2991150617599487,90,,
,7370,,90,11.36713981628418,1.1951794624328613
0.7394822239875793,7451,1.3015676736831665,91,,
,7451,,91,11.551562309265137,1.190799593925476
0.7491909265518188,7532,1.2942578792572021,92,,
,7532,,92,7.727049350738525,1.1913598775863647
0.7535059452056885,7613,1.2895371913909912,93,,
,7613,,93,11.593782424926758,1.1896253824234009
0.7373247146606445,7694,1.3035075664520264,94,,
,7694,,94,11.457085609436035,1.1895103454589844
0.7249190807342529,7775,1.3152177333831787,95,,
,7775,,95,11.919000625610352,1.1908282041549683
0.7297734618186951,7856,1.3113480806350708,96,,
,7856,,96,11.657225608825684,1.1940451860427856
0.744875967502594,7937,1.2971956729888916,97,,
,7937,,97,11.857094764709473,1.1986253261566162
0.7184466123580933,8018,1.3244199752807617,98,,
,8018,,98,11.375818252563477,1.1910752058029175
0.72869473695755,8099,1.3098384141921997,99,,
,8099,,99,11.512258529663086,1.1885573863983154
