epoch,step,val_loss,val_acc,train_epoch_time,train_loss
0,27,1.6650546789169312,0.3333333432674408,,
0,27,,,5.496157169342041,1.7362658977508545
1,55,1.60252845287323,0.5422222018241882,,
1,55,,,11.215396881103516,1.6447107791900635
2,83,1.516014814376831,0.6333333253860474,,
2,83,,,11.751675605773926,1.576098084449768
3,111,1.4297407865524292,0.6600000262260437,,
3,111,,,11.979406356811523,1.5034998655319214
4,139,1.3723984956741333,0.6600000262260437,,
4,139,,,10.694967269897461,1.4364639520645142
5,167,1.3367913961410522,0.699999988079071,,
5,167,,,11.327369689941406,1.386637806892395
6,195,1.2781155109405518,0.7888888716697693,,
6,195,,,10.797196388244629,1.3406485319137573
7,223,1.2456210851669312,0.8022222518920898,,
7,223,,,11.216750144958496,1.2968952655792236
8,251,1.240317702293396,0.7977777719497681,,
8,251,,,11.656617164611816,1.2660995721817017
9,279,1.2271236181259155,0.8066666722297668,,
9,279,,,10.837118148803711,1.2507063150405884
10,307,1.2350937128067017,0.7933333516120911,,
10,307,,,11.566572189331055,1.2434500455856323
11,335,1.2330046892166138,0.8022222518920898,,
11,335,,,11.385637283325195,1.2642784118652344
12,363,1.2194511890411377,0.8133333325386047,,
12,363,,,11.55289363861084,1.2436712980270386
13,391,1.2270231246948242,0.8022222518920898,,
13,391,,,11.61371898651123,1.2327364683151245
14,419,1.2316490411758423,0.800000011920929,,
14,419,,,11.510004997253418,1.2288622856140137
15,447,1.2224023342132568,0.8066666722297668,,
15,447,,,11.480031967163086,1.2268576622009277
16,475,1.220031976699829,0.804444432258606,,
16,475,,,11.265495300292969,1.238542914390564
17,503,1.2175008058547974,0.8066666722297668,,
17,503,,,11.307429313659668,1.2272944450378418
18,531,1.2146923542022705,0.8111110925674438,,
18,531,,,9.750739097595215,1.2231651544570923
19,559,1.213476300239563,0.8155555725097656,,
19,559,,,9.051126480102539,1.2211216688156128
20,587,1.2127392292022705,0.8133333325386047,,
20,587,,,11.203804969787598,1.2180989980697632
21,615,1.2140494585037231,0.8111110925674438,,
21,615,,,11.192864418029785,1.2175742387771606
22,643,1.2188265323638916,0.8066666722297668,,
22,643,,,11.374473571777344,1.2144702672958374
23,671,1.215967059135437,0.8088889122009277,,
23,671,,,11.229182243347168,1.2128980159759521
24,699,1.2166959047317505,0.8155555725097656,,
24,699,,,11.207018852233887,1.2166213989257812
25,727,1.2362388372421265,0.7866666913032532,,
25,727,,,11.622638702392578,1.2179688215255737
26,755,1.2181445360183716,0.804444432258606,,
26,755,,,11.123355865478516,1.2140376567840576
27,783,1.2179319858551025,0.8088889122009277,,
27,783,,,11.753740310668945,1.2238126993179321
28,811,1.2154719829559326,0.8088889122009277,,
28,811,,,10.982137680053711,1.2138346433639526
29,839,1.2164359092712402,0.8199999928474426,,
29,839,,,10.897680282592773,1.213528037071228
30,867,1.2205309867858887,0.8333333134651184,,
30,867,,,12.171588897705078,1.2087152004241943
31,895,1.2150936126708984,0.8133333325386047,,
31,895,,,11.515092849731445,1.2108635902404785
32,923,1.2322124242782593,0.7955555319786072,,
32,923,,,10.781635284423828,1.2172478437423706
33,951,1.216836929321289,0.8111110925674438,,
33,951,,,11.041044235229492,1.233575463294983
34,979,1.2087410688400269,0.8199999928474426,,
34,979,,,11.191015243530273,1.2260878086090088
35,1007,1.2115652561187744,0.8111110925674438,,
35,1007,,,9.418673515319824,1.2149907350540161
36,1035,1.221646785736084,0.846666693687439,,
36,1035,,,11.397482872009277,1.2106494903564453
37,1063,1.2068160772323608,0.8133333325386047,,
37,1063,,,11.072933197021484,1.2084400653839111
38,1091,1.2103545665740967,0.8155555725097656,,
38,1091,,,10.95028305053711,1.2085870504379272
39,1119,1.2072347402572632,0.8199999928474426,,
39,1119,,,10.96129035949707,1.207751750946045
40,1147,1.2078609466552734,0.8155555725097656,,
40,1147,,,10.986018180847168,1.2070766687393188
41,1175,1.207940697669983,0.8177777528762817,,
41,1175,,,11.073772430419922,1.2101396322250366
42,1203,1.2069307565689087,0.8177777528762817,,
42,1203,,,12.444869995117188,1.207740306854248
43,1231,1.2060589790344238,0.8199999928474426,,
43,1231,,,11.957843780517578,1.2073466777801514
44,1259,1.2057660818099976,0.8622221946716309,,
44,1259,,,11.16275405883789,1.2077003717422485
45,1287,1.2109371423721313,0.8244444727897644,,
45,1287,,,10.614583015441895,1.207248330116272
46,1315,1.2125624418258667,0.7977777719497681,,
46,1315,,,11.060873031616211,1.2074639797210693
47,1343,1.207089900970459,0.8133333325386047,,
47,1343,,,11.029292106628418,1.2066211700439453
48,1371,1.2058879137039185,0.8177777528762817,,
48,1371,,,10.829752922058105,1.206644892692566
49,1399,1.2057150602340698,0.8177777528762817,,
49,1399,,,11.828902244567871,1.207557201385498
50,1427,1.2055394649505615,0.8155555725097656,,
50,1427,,,11.67028522491455,1.2068113088607788
51,1455,1.2048941850662231,0.8266666531562805,,
51,1455,,,13.53195571899414,1.207082986831665
52,1483,1.2606695890426636,0.7666666507720947,,
52,1483,,,11.970935821533203,1.2659491300582886
53,1511,1.2784568071365356,0.7400000095367432,,
53,1511,,,11.831649780273438,1.3088473081588745
54,1539,1.3771402835845947,0.6422222256660461,,
54,1539,,,11.553387641906738,1.335823893547058
55,1567,1.2997301816940308,0.7244444489479065,,
55,1567,,,11.442021369934082,1.3730835914611816
56,1595,1.3038337230682373,0.7155555486679077,,
56,1595,,,11.21992301940918,1.3096919059753418
57,1623,1.219020128250122,0.8066666722297668,,
57,1623,,,9.492124557495117,1.2622239589691162
58,1651,1.2270042896270752,0.7933333516120911,,
58,1651,,,10.245444297790527,1.2228710651397705
59,1679,1.217299222946167,0.804444432258606,,
59,1679,,,11.13542366027832,1.2176589965820312
60,1707,1.2209362983703613,0.8155555725097656,,
60,1707,,,11.690802574157715,1.2164552211761475
61,1735,1.2182657718658447,0.7911111116409302,,
61,1735,,,11.153641700744629,1.2157801389694214
62,1763,1.2161149978637695,0.8199999928474426,,
62,1763,,,11.178940773010254,1.2145843505859375
63,1791,1.2225830554962158,0.7888888716697693,,
63,1791,,,12.99122142791748,1.2114027738571167
64,1819,1.2163640260696411,0.8133333325386047,,
64,1819,,,12.243483543395996,1.2108300924301147
65,1847,1.2158937454223633,0.7955555319786072,,
65,1847,,,12.555997848510742,1.2108107805252075
66,1875,1.2100192308425903,0.8133333325386047,,
66,1875,,,12.188864707946777,1.2103476524353027
67,1903,1.2197265625,0.8022222518920898,,
67,1903,,,11.963066101074219,1.219782829284668
68,1931,1.2170637845993042,0.8088889122009277,,
68,1931,,,11.613637924194336,1.2115291357040405
69,1959,1.2180001735687256,0.8111110925674438,,
69,1959,,,11.976997375488281,1.211247205734253
70,1987,1.211912751197815,0.8333333134651184,,
70,1987,,,12.43195629119873,1.2094165086746216
71,2015,1.21490478515625,0.8155555725097656,,
71,2015,,,12.3338041305542,1.209718942642212
72,2043,1.2170108556747437,0.7955555319786072,,
72,2043,,,12.867283821105957,1.2085962295532227
73,2071,1.2203567028045654,0.8066666722297668,,
73,2071,,,13.417454719543457,1.2095544338226318
74,2099,1.2124683856964111,0.8444444537162781,,
74,2099,,,13.486786842346191,1.206855297088623
75,2127,1.2133138179779053,0.8333333134651184,,
75,2127,,,13.00245189666748,1.2066123485565186
76,2155,1.2160308361053467,0.8111110925674438,,
76,2155,,,13.675371170043945,1.2079932689666748
77,2183,1.2154675722122192,0.8311111330986023,,
77,2183,,,13.443961143493652,1.206413984298706
78,2211,1.2186634540557861,0.8288888931274414,,
78,2211,,,13.521695137023926,1.207224726676941
79,2239,1.2111750841140747,0.8266666531562805,,
79,2239,,,13.699400901794434,1.2064019441604614
80,2267,1.2125542163848877,0.8377777934074402,,
80,2267,,,13.460740089416504,1.2056576013565063
81,2295,1.211563229560852,0.8288888931274414,,
81,2295,,,12.795042991638184,1.2061474323272705
82,2323,1.21094810962677,0.800000011920929,,
82,2323,,,13.450543403625488,1.2058454751968384
83,2351,1.2107148170471191,0.804444432258606,,
83,2351,,,11.842132568359375,1.205470323562622
84,2379,1.2122538089752197,0.8311111330986023,,
84,2379,,,11.954020500183105,1.2055761814117432
85,2407,1.2117464542388916,0.800000011920929,,
85,2407,,,12.208663940429688,1.205536961555481
86,2435,1.210964322090149,0.8422222137451172,,
86,2435,,,11.96870231628418,1.2061163187026978
87,2463,1.2188472747802734,0.7955555319786072,,
87,2463,,,11.809178352355957,1.2051666975021362
88,2491,1.2131233215332031,0.8066666722297668,,
88,2491,,,12.174182891845703,1.205965280532837
89,2519,1.2118107080459595,0.8244444727897644,,
89,2519,,,12.116151809692383,1.2053710222244263
90,2547,1.2125262022018433,0.8022222518920898,,
90,2547,,,11.952737808227539,1.2044875621795654
91,2575,1.2128185033798218,0.8444444537162781,,
91,2575,,,11.929615020751953,1.204993486404419
92,2603,1.212676763534546,0.8422222137451172,,
92,2603,,,11.148685455322266,1.2047958374023438
93,2631,1.2128299474716187,0.8288888931274414,,
93,2631,,,12.561375617980957,1.204870581626892
94,2659,1.2126350402832031,0.800000011920929,,
94,2659,,,11.084280014038086,1.2041479349136353
95,2687,1.2126108407974243,0.8488888740539551,,
95,2687,,,11.28042984008789,1.2045255899429321
96,2715,1.212268590927124,0.8066666722297668,,
96,2715,,,11.394512176513672,1.204163670539856
97,2743,1.212785005569458,0.8311111330986023,,
97,2743,,,11.193502426147461,1.2042887210845947
98,2771,1.2113639116287231,0.8422222137451172,,
98,2771,,,10.686284065246582,1.2041096687316895
99,2799,1.212212085723877,0.7977777719497681,,
99,2799,,,10.099254608154297,1.2043771743774414
