val_acc,val_loss,step,epoch,train_epoch_time,train_loss
0.4000000059604645,1.6447107791900635,18,0,,
,,18,0,5.010964393615723,1.7227097749710083
0.5441176295280457,1.5691570043563843,37,1,,
,,37,1,10.691258430480957,1.6119574308395386
0.4941176474094391,1.5374914407730103,56,2,,
,,56,2,10.593766212463379,1.530566930770874
0.44117647409439087,1.5702680349349976,75,3,,
,,75,3,10.39183521270752,1.5819644927978516
0.41470587253570557,1.591055154800415,94,4,,
,,94,4,10.685953140258789,1.6173368692398071
0.3970588147640228,1.6058220863342285,113,5,,
,,113,5,10.730609893798828,1.648841381072998
0.38235294818878174,1.6233488321304321,132,6,,
,,132,6,12.067575454711914,1.6625592708587646
0.3705882430076599,1.6317307949066162,151,7,,
,,151,7,11.433253288269043,1.6711292266845703
0.2911764681339264,1.700192928314209,170,8,,
,,170,8,11.236101150512695,1.703475832939148
0.31470587849617004,1.6806235313415527,189,9,,
,,189,9,11.218954086303711,1.7275824546813965
0.385294109582901,1.612952709197998,208,10,,
,,208,10,10.629839897155762,1.6918134689331055
0.4205882251262665,1.5843336582183838,227,11,,
,,227,11,12.46607494354248,1.6414096355438232
0.38235294818878174,1.617645263671875,246,12,,
,,246,12,10.90959644317627,1.6519529819488525
0.5264706015586853,1.4844757318496704,265,13,,
,,265,13,9.624320030212402,1.6109431982040405
0.6088235378265381,1.4273123741149902,284,14,,
,,284,14,8.998573303222656,1.4591001272201538
0.6000000238418579,1.4079320430755615,303,15,,
,,303,15,11.272274017333984,1.4216089248657227
0.6352941393852234,1.3920496702194214,322,16,,
,,322,16,11.659978866577148,1.4049649238586426
0.6470588445663452,1.385891318321228,341,17,,
,,341,17,11.22646427154541,1.3936712741851807
0.658823549747467,1.3730021715164185,360,18,,
,,360,18,11.711067199707031,1.3819292783737183
0.6911764740943909,1.342042326927185,379,19,,
,,379,19,11.408346176147461,1.3631600141525269
0.7647058963775635,1.280909538269043,398,20,,
,,398,20,11.15157699584961,1.3260303735733032
0.7882353067398071,1.249878168106079,417,21,,
,,417,21,10.833799362182617,1.2934746742248535
0.779411792755127,1.2395600080490112,436,22,,
,,436,22,10.888969421386719,1.2595703601837158
0.7941176295280457,1.2349016666412354,455,23,,
,,455,23,10.957181930541992,1.2607780694961548
0.7911764979362488,1.2365062236785889,474,24,,
,,474,24,11.097089767456055,1.2566176652908325
0.7970588207244873,1.2392678260803223,493,25,,
,,493,25,10.879674911499023,1.2624338865280151
0.7882353067398071,1.2293646335601807,512,26,,
,,512,26,11.496467590332031,1.2506561279296875
0.7764706015586853,1.226844072341919,531,27,,
,,531,27,11.275208473205566,1.239970326423645
0.7382352948188782,1.2663875818252563,550,28,,
,,550,28,11.669350624084473,1.2391732931137085
0.7941176295280457,1.2247449159622192,569,29,,
,,569,29,11.375782012939453,1.2405173778533936
0.7823529243469238,1.237192988395691,588,30,,
,,588,30,11.081475257873535,1.2451404333114624
0.7911764979362488,1.2239844799041748,607,31,,
,,607,31,11.675777435302734,1.241478443145752
0.7970588207244873,1.2248778343200684,626,32,,
,,626,32,11.118243217468262,1.2327219247817993
0.7852941155433655,1.2235283851623535,645,33,,
,,645,33,11.060542106628418,1.2289230823516846
0.7941176295280457,1.2233625650405884,664,34,,
,,664,34,10.892561912536621,1.2266778945922852
0.7970588207244873,1.2242051362991333,683,35,,
,,683,35,11.835822105407715,1.2275794744491577
0.7941176295280457,1.2260925769805908,702,36,,
,,702,36,11.460050582885742,1.2261247634887695
0.800000011920929,1.2236298322677612,721,37,,
,,721,37,11.41569709777832,1.2252601385116577
0.7970588207244873,1.2238701581954956,740,38,,
,,740,38,12.023374557495117,1.2258236408233643
0.7941176295280457,1.2242872714996338,759,39,,
,,759,39,11.111387252807617,1.2249723672866821
0.7911764979362488,1.2234996557235718,778,40,,
,,778,40,10.693470001220703,1.2242083549499512
0.7911764979362488,1.2233046293258667,797,41,,
,,797,41,10.851191520690918,1.2250415086746216
0.7970588207244873,1.2236518859863281,816,42,,
,,816,42,11.172187805175781,1.2244250774383545
0.7970588207244873,1.2232002019882202,835,43,,
,,835,43,10.391433715820312,1.2237552404403687
0.7941176295280457,1.2232613563537598,854,44,,
,,854,44,11.018070220947266,1.2244114875793457
0.7970588207244873,1.2231632471084595,873,45,,
,,873,45,11.324868202209473,1.2246760129928589
0.7941176295280457,1.2228403091430664,892,46,,
,,892,46,11.837983131408691,1.2238359451293945
0.8088235259056091,1.2227627038955688,911,47,,
,,911,47,12.394733428955078,1.2237679958343506
0.7941176295280457,1.2230982780456543,930,48,,
,,930,48,11.966053009033203,1.224227786064148
0.800000011920929,1.2231301069259644,949,49,,
,,949,49,11.408495903015137,1.2240954637527466
0.7941176295280457,1.223043441772461,968,50,,
,,968,50,10.801518440246582,1.2242369651794434
0.8029412031173706,1.2226624488830566,987,51,,
,,987,51,10.839763641357422,1.2243865728378296
0.7735294103622437,1.222628116607666,1006,52,,
,,1006,52,10.767770767211914,1.2246286869049072
0.7970588207244873,1.2226941585540771,1025,53,,
,,1025,53,10.769472122192383,1.2247918844223022
0.8088235259056091,1.2226293087005615,1044,54,,
,,1044,54,11.094659805297852,1.2244325876235962
0.7941176295280457,1.2232221364974976,1063,55,,
,,1063,55,11.463951110839844,1.2239878177642822
0.7970588207244873,1.2230838537216187,1082,56,,
,,1082,56,12.021607398986816,1.2246878147125244
0.7941176295280457,1.2235926389694214,1101,57,,
,,1101,57,11.364770889282227,1.2284640073776245
0.7970588207244873,1.2229136228561401,1120,58,,
,,1120,58,11.396480560302734,1.2239967584609985
0.800000011920929,1.2226409912109375,1139,59,,
,,1139,59,11.502654075622559,1.2244497537612915
0.7970588207244873,1.2229664325714111,1158,60,,
,,1158,60,11.139018058776855,1.2228995561599731
0.7970588207244873,1.2227720022201538,1177,61,,
,,1177,61,11.06566333770752,1.225041151046753
0.7970588207244873,1.2230807542800903,1196,62,,
,,1196,62,10.710731506347656,1.2245444059371948
0.7852941155433655,1.222601294517517,1215,63,,
,,1215,63,11.441572189331055,1.2231017351150513
0.8029412031173706,1.2226157188415527,1234,64,,
,,1234,64,9.524039268493652,1.2233165502548218
0.7852941155433655,1.2226192951202393,1253,65,,
,,1253,65,14.017045974731445,1.2230420112609863
0.800000011920929,1.2227133512496948,1272,66,,
,,1272,66,13.360773086547852,1.2229663133621216
0.8029412031173706,1.2226531505584717,1291,67,,
,,1291,67,13.190860748291016,1.2231616973876953
0.800000011920929,1.2227145433425903,1310,68,,
,,1310,68,12.946462631225586,1.2243374586105347
0.7882353067398071,1.2226194143295288,1329,69,,
,,1329,69,13.247058868408203,1.2247183322906494
0.7970588207244873,1.2233866453170776,1348,70,,
,,1348,70,13.177033424377441,1.2241759300231934
0.7941176295280457,1.237945556640625,1367,71,,
,,1367,71,12.887882232666016,1.2329379320144653
0.7911764979362488,1.2319962978363037,1386,72,,
,,1386,72,12.926862716674805,1.2626559734344482
0.7970588207244873,1.2266411781311035,1405,73,,
,,1405,73,12.858259201049805,1.2426563501358032
0.800000011920929,1.2259958982467651,1424,74,,
,,1424,74,13.273250579833984,1.230944275856018
0.800000011920929,1.2234265804290771,1443,75,,
,,1443,75,13.727171897888184,1.226901650428772
0.8058823347091675,1.222654938697815,1462,76,,
,,1462,76,13.275111198425293,1.2242344617843628
0.8117647171020508,1.2237269878387451,1481,77,,
,,1481,77,13.87453842163086,1.2247623205184937
0.8088235259056091,1.2227517366409302,1500,78,,
,,1500,78,13.213495254516602,1.2243489027023315
0.7735294103622437,1.2244882583618164,1519,79,,
,,1519,79,13.390424728393555,1.2237828969955444
0.820588231086731,1.2225639820098877,1538,80,,
,,1538,80,14.541548728942871,1.2233819961547852
0.8029412031173706,1.2245287895202637,1557,81,,
,,1557,81,14.142329216003418,1.222516417503357
0.7970588207244873,1.2253528833389282,1576,82,,
,,1576,82,13.267499923706055,1.225404977798462
0.7911764979362488,1.2225455045700073,1595,83,,
,,1595,83,13.445884704589844,1.2226250171661377
0.800000011920929,1.222961187362671,1614,84,,
,,1614,84,13.707779884338379,1.2227201461791992
0.8117647171020508,1.222569227218628,1633,85,,
,,1633,85,14.000587463378906,1.2219754457473755
0.8029412031173706,1.222341537475586,1652,86,,
,,1652,86,14.417593002319336,1.2217947244644165
0.800000011920929,1.2232428789138794,1671,87,,
,,1671,87,14.538236618041992,1.2229673862457275
0.8058823347091675,1.2224490642547607,1690,88,,
,,1690,88,14.403587341308594,1.2224094867706299
0.8117647171020508,1.2224771976470947,1709,89,,
,,1709,89,14.389174461364746,1.2222107648849487
0.8088235259056091,1.2225819826126099,1728,90,,
,,1728,90,14.304847717285156,1.2219194173812866
0.8176470398902893,1.222274899482727,1747,91,,
,,1747,91,13.726924896240234,1.2217193841934204
0.800000011920929,1.2221273183822632,1766,92,,
,,1766,92,14.254225730895996,1.2222651243209839
0.8176470398902893,1.2221767902374268,1785,93,,
,,1785,93,14.855050086975098,1.2217116355895996
0.8176470398902893,1.2221568822860718,1804,94,,
,,1804,94,13.904539108276367,1.2220327854156494
0.800000011920929,1.222109317779541,1823,95,,
,,1823,95,13.206751823425293,1.2212488651275635
0.8176470398902893,1.2222729921340942,1842,96,,
,,1842,96,13.637311935424805,1.2212632894515991
0.8029412031173706,1.2219258546829224,1861,97,,
,,1861,97,13.610554695129395,1.2214016914367676
0.7911764979362488,1.2219228744506836,1880,98,,
,,1880,98,13.943129539489746,1.2216300964355469
0.8088235259056091,1.2223069667816162,1899,99,,
,,1899,99,14.25147819519043,1.221240758895874
