val_acc,val_loss,epoch,step,train_epoch_time,train_loss
0.26651304960250854,1.7094091176986694,0,80,,
,,0,80,6.034383773803711,1.6433213949203491
0.4308755695819855,1.583487868309021,1,161,,
,,1,161,11.896184921264648,1.6060054302215576
0.4539170563220978,1.5447731018066406,2,242,,
,,2,242,12.343202590942383,1.4685490131378174
0.49615976214408875,1.535359501838684,3,323,,
,,3,323,12.649820327758789,1.4103271961212158
0.5345622301101685,1.4986993074417114,4,404,,
,,4,404,12.818812370300293,1.3909732103347778
0.5852534770965576,1.4469071626663208,5,485,,
,,5,485,17.194067001342773,1.3401954174041748
0.5299538969993591,1.481250286102295,6,566,,
,,6,566,13.678409576416016,1.2964836359024048
0.5691244006156921,1.4375579357147217,7,647,,
,,7,647,13.758426666259766,1.275395393371582
0.4854070544242859,1.4679802656173706,8,728,,
,,8,728,13.668304443359375,1.2718143463134766
0.5752688050270081,1.4628733396530151,9,809,,
,,9,809,13.494318008422852,1.2572095394134521
0.4531489908695221,1.4909158945083618,10,890,,
,,10,890,14.313514709472656,1.254265308380127
0.4462365508079529,1.5179870128631592,11,971,,
,,11,971,14.746337890625,1.2500581741333008
0.4423963129520416,1.529812216758728,12,1052,,
,,12,1052,13.293224334716797,1.2410894632339478
0.4431643486022949,1.5464023351669312,13,1133,,
,,13,1133,13.42121696472168,1.2350034713745117
0.48771122097969055,1.4971221685409546,14,1214,,
,,14,1214,13.84222412109375,1.2301899194717407
0.4615975320339203,1.521457314491272,15,1295,,
,,15,1295,13.624204635620117,1.223188877105713
0.5729646682739258,1.4936169385910034,16,1376,,
,,16,1376,13.144543647766113,1.2187379598617554
0.4677419364452362,1.5320489406585693,17,1457,,
,,17,1457,12.34659194946289,1.224971055984497
0.4270353317260742,1.59250009059906,18,1538,,
,,18,1538,14.021060943603516,1.2213237285614014
0.44930875301361084,1.5655510425567627,19,1619,,
,,19,1619,13.8808012008667,1.2168679237365723
0.43855607509613037,1.59031081199646,20,1700,,
,,20,1700,13.974483489990234,1.2094072103500366
0.5046082735061646,1.5238884687423706,21,1781,,
,,21,1781,14.58206558227539,1.2107077836990356
0.5614439249038696,1.4845445156097412,22,1862,,
,,22,1862,15.110732078552246,1.2116491794586182
0.5407066345214844,1.4996836185455322,23,1943,,
,,23,1943,14.070511817932129,1.2744033336639404
0.5691244006156921,1.4715180397033691,24,2024,,
,,24,2024,13.790989875793457,1.2680052518844604
0.38556066155433655,1.6529494524002075,25,2105,,
,,25,2105,14.053929328918457,1.3745501041412354
0.37019968032836914,1.6472959518432617,26,2186,,
,,26,2186,14.321657180786133,1.4139325618743896
0.3502304255962372,1.6458698511123657,27,2267,,
,,27,2267,14.880871772766113,1.4056981801986694
0.35483869910240173,1.6428000926971436,28,2348,,
,,28,2348,14.709096908569336,1.4020354747772217
0.3494623601436615,1.6494405269622803,29,2429,,
,,29,2429,13.048299789428711,1.4006884098052979
0.3509984612464905,1.6475976705551147,30,2510,,
,,30,2510,12.71993350982666,1.4006043672561646
0.3563748002052307,1.6414450407028198,31,2591,,
,,31,2591,13.149086952209473,1.3996057510375977
0.35407066345214844,1.6419265270233154,32,2672,,
,,32,2672,13.019246101379395,1.398270845413208
0.3947772681713104,1.6436551809310913,33,2753,,
,,33,2753,13.30572509765625,1.3978554010391235
0.35483869910240173,1.6425997018814087,34,2834,,
,,34,2834,12.862979888916016,1.3980311155319214
0.3579109013080597,1.6384345293045044,35,2915,,
,,35,2915,13.816132545471191,1.3985668420791626
0.35407066345214844,1.6477000713348389,36,2996,,
,,36,2996,13.978806495666504,1.3983304500579834
0.3717357814311981,1.630246639251709,37,3077,,
,,37,3077,14.235915184020996,1.397209882736206
0.35176652669906616,1.6450958251953125,38,3158,,
,,38,3158,14.290109634399414,1.396943211555481
0.3947772681713104,1.645750880241394,39,3239,,
,,39,3239,14.027398109436035,1.396547555923462
0.4662058353424072,1.5651769638061523,40,3320,,
,,40,3320,14.817399978637695,1.3319984674453735
0.4662058353424072,1.5693081617355347,41,3401,,
,,41,3401,14.041550636291504,1.2043880224227905
0.4508448541164398,1.5836395025253296,42,3482,,
,,42,3482,14.661540031433105,1.2006698846817017
0.44777265191078186,1.578004002571106,43,3563,,
,,43,3563,13.85949993133545,1.1896915435791016
0.4600614309310913,1.5298830270767212,44,3644,,
,,44,3644,13.953330039978027,1.1890541315078735
0.44777265191078186,1.5930999517440796,45,3725,,
,,45,3725,14.548761367797852,1.1830906867980957
0.4600614309310913,1.522140622138977,46,3806,,
,,46,3806,14.658602714538574,1.176830530166626
0.44700461626052856,1.5922796726226807,47,3887,,
,,47,3887,14.196280479431152,1.1752020120620728
0.460829496383667,1.5788545608520508,48,3968,,
,,48,3968,13.962600708007812,1.1866847276687622
0.4677419364452362,1.5723683834075928,49,4049,,
,,49,4049,14.441081047058105,1.1907529830932617
0.518433153629303,1.5237234830856323,50,4130,,
,,50,4130,14.024393081665039,1.275853157043457
0.5153610110282898,1.5269609689712524,51,4211,,
,,51,4211,14.95154094696045,1.2711870670318604
0.5115207433700562,1.5294464826583862,52,4292,,
,,52,4292,14.295652389526367,1.2646944522857666
0.5314900279045105,1.5022810697555542,53,4373,,
,,53,4373,13.911396026611328,1.2681583166122437
0.5176651477813721,1.520002007484436,54,4454,,
,,54,4454,14.67269515991211,1.2710201740264893
0.5153610110282898,1.5215386152267456,55,4535,,
,,55,4535,13.953922271728516,1.263480544090271
0.518433153629303,1.5211215019226074,56,4616,,
,,56,4616,13.971681594848633,1.2610036134719849
0.5168970823287964,1.5242984294891357,57,4697,,
,,57,4697,14.286529541015625,1.259752869606018
0.5161290168762207,1.5242588520050049,58,4778,,
,,58,4778,15.275506019592285,1.258569359779358
0.5099846124649048,1.5300124883651733,59,4859,,
,,59,4859,14.78704833984375,1.2588868141174316
0.5122888088226318,1.5289374589920044,60,4940,,
,,60,4940,14.495648384094238,1.2572706937789917
0.5122888088226318,1.5281572341918945,61,5021,,
,,61,5021,15.121330261230469,1.2566856145858765
0.5130568146705627,1.5275851488113403,62,5102,,
,,62,5102,14.201038360595703,1.2560665607452393
0.5145929455757141,1.5265963077545166,63,5183,,
,,63,5183,14.008736610412598,1.2558306455612183
0.5176651477813721,1.524538516998291,64,5264,,
,,64,5264,14.53161907196045,1.2567161321640015
0.5153610110282898,1.5253798961639404,65,5345,,
,,65,5345,14.4766206741333,1.2562360763549805
0.5168970823287964,1.5245730876922607,66,5426,,
,,66,5426,15.36095905303955,1.2562158107757568
0.5168970823287964,1.5232168436050415,67,5507,,
,,67,5507,16.354907989501953,1.2558300495147705
0.518433153629303,1.5235894918441772,68,5588,,
,,68,5588,13.620651245117188,1.2569926977157593
0.5192012190818787,1.5226064920425415,69,5669,,
,,69,5669,13.89130973815918,1.2555009126663208
0.5199692845344543,1.5217941999435425,70,5750,,
,,70,5750,13.923940658569336,1.255092978477478
0.5076804757118225,1.5337146520614624,71,5831,,
,,71,5831,14.181533813476562,1.2523834705352783
0.5099846124649048,1.5296378135681152,72,5912,,
,,72,5912,13.840377807617188,1.2442047595977783
0.5069124698638916,1.53360915184021,73,5993,,
,,73,5993,13.780964851379395,1.2458844184875488
0.5084485411643982,1.5315821170806885,74,6074,,
,,74,6074,14.622282028198242,1.2437456846237183
0.5115207433700562,1.5295575857162476,75,6155,,
,,75,6155,14.121060371398926,1.2440118789672852
0.5115207433700562,1.5321589708328247,76,6236,,
,,76,6236,15.589855194091797,1.2433501482009888
0.5038402676582336,1.537488579750061,77,6317,,
,,77,6317,14.187529563903809,1.2461191415786743
0.5053763389587402,1.5344401597976685,78,6398,,
,,78,6398,14.576026916503906,1.247977614402771
0.5084485411643982,1.5307773351669312,79,6479,,
,,79,6479,13.7258939743042,1.2466692924499512
0.5153610110282898,1.5278806686401367,80,6560,,
,,80,6560,13.836601257324219,1.253551721572876
0.5138248801231384,1.528749704360962,81,6641,,
,,81,6641,14.058380126953125,1.253076434135437
0.5130568146705627,1.527698278427124,82,6722,,
,,82,6722,14.075685501098633,1.2528764009475708
0.5145929455757141,1.5267964601516724,83,6803,,
,,83,6803,13.567529678344727,1.2525438070297241
0.5153610110282898,1.5266752243041992,84,6884,,
,,84,6884,14.483527183532715,1.2525185346603394
0.5145929455757141,1.5261054039001465,85,6965,,
,,85,6965,13.315977096557617,1.2526112794876099
0.5161290168762207,1.5259771347045898,86,7046,,
,,86,7046,13.848221778869629,1.2523974180221558
0.5145929455757141,1.5263898372650146,87,7127,,
,,87,7127,13.977498054504395,1.2523200511932373
0.5153610110282898,1.526201605796814,88,7208,,
,,88,7208,14.78731632232666,1.252350926399231
0.5145929455757141,1.5262479782104492,89,7289,,
,,89,7289,14.011678695678711,1.2523329257965088
0.5138248801231384,1.5264041423797607,90,7370,,
,,90,7370,13.86137580871582,1.2522971630096436
0.5130568146705627,1.526538610458374,91,7451,,
,,91,7451,14.370147705078125,1.2522835731506348
0.5138248801231384,1.5266757011413574,92,7532,,
,,92,7532,14.03466510772705,1.2524585723876953
0.5130568146705627,1.527828335762024,93,7613,,
,,93,7613,14.524090766906738,1.2523610591888428
0.5138248801231384,1.5269725322723389,94,7694,,
,,94,7694,13.519308090209961,1.2522424459457397
0.5145929455757141,1.526780366897583,95,7775,,
,,95,7775,13.336002349853516,1.252326488494873
0.5145929455757141,1.5266023874282837,96,7856,,
,,96,7856,13.808382034301758,1.2523435354232788
0.5138248801231384,1.5278524160385132,97,7937,,
,,97,7937,11.68822193145752,1.2521817684173584
0.5145929455757141,1.5272067785263062,98,8018,,
,,98,8018,14.034491539001465,1.2521318197250366
0.5130568146705627,1.5285968780517578,99,8099,,
,,99,8099,13.367843627929688,1.2521165609359741
