epoch,val_loss,val_acc,step,train_epoch_time,train_loss
0,1.7624120712280273,0.1666666716337204,10,,
0,,,10,3.436380386352539,1.7767918109893799
1,1.7403734922409058,0.28169015049934387,21,,
1,,,21,7.588373184204102,1.7403243780136108
2,1.7273149490356445,0.30751174688339233,32,,
2,,,32,7.55507755279541,1.7197433710098267
3,1.7096002101898193,0.3685446083545685,43,,
3,,,43,7.570688247680664,1.7003974914550781
4,1.6840648651123047,0.43427228927612305,54,,
4,,,54,7.399346351623535,1.6756401062011719
5,1.6538065671920776,0.4225352108478546,65,,
5,,,65,7.862802505493164,1.6393433809280396
6,1.6247460842132568,0.4107981324195862,76,,
6,,,76,7.497882843017578,1.597459077835083
7,1.6005760431289673,0.4131455421447754,87,,
7,,,87,7.741297721862793,1.559196949005127
8,1.5813817977905273,0.4131455421447754,98,,
8,,,98,7.963590621948242,1.5290577411651611
9,1.5706050395965576,0.4131455421447754,109,,
9,,,109,7.8657612800598145,1.506627082824707
10,1.5632097721099854,0.43661972880363464,120,,
10,,,120,7.421648025512695,1.486402153968811
11,1.5561649799346924,0.42957746982574463,131,,
11,,,131,7.792263507843018,1.4675929546356201
12,1.5585260391235352,0.47417840361595154,142,,
12,,,142,8.014028549194336,1.453344702720642
13,1.5494264364242554,0.4600938856601715,153,,
13,,,153,7.867120742797852,1.4378845691680908
14,1.5451743602752686,0.4553990662097931,164,,
14,,,164,7.866096496582031,1.423905849456787
15,1.5482864379882812,0.4530516564846039,175,,
15,,,175,8.32748031616211,1.4135605096817017
16,1.5503435134887695,0.43896713852882385,186,,
16,,,186,8.275078773498535,1.4057787656784058
17,1.5372787714004517,0.47652581334114075,197,,
17,,,197,8.038023948669434,1.3979517221450806
18,1.5387375354766846,0.48122066259384155,208,,
18,,,208,7.969050407409668,1.3886600732803345
19,1.5361846685409546,0.47183099389076233,219,,
19,,,219,8.043100357055664,1.3792890310287476
20,1.5311940908432007,0.48356807231903076,230,,
20,,,230,8.103302955627441,1.3742468357086182
21,1.5333484411239624,0.48591548204421997,241,,
21,,,241,7.8316850662231445,1.3662997484207153
22,1.5332577228546143,0.4671361446380615,252,,
22,,,252,7.8370184898376465,1.361415147781372
23,1.5380196571350098,0.47417840361595154,263,,
23,,,263,8.18170166015625,1.357857584953308
24,1.5410513877868652,0.4624413251876831,274,,
24,,,274,7.739066123962402,1.35184907913208
25,1.534163475036621,0.48122066259384155,285,,
25,,,285,7.994656085968018,1.3483937978744507
26,1.5427770614624023,0.47183099389076233,296,,
26,,,296,7.875193119049072,1.345473051071167
27,1.5425139665603638,0.4624413251876831,307,,
27,,,307,7.38421106338501,1.3409733772277832
28,1.549260139465332,0.4530516564846039,318,,
28,,,318,7.405826568603516,1.338596224784851
29,1.5461726188659668,0.4600938856601715,329,,
29,,,329,8.021034240722656,1.3374038934707642
30,1.5324444770812988,0.48356807231903076,340,,
30,,,340,8.266706466674805,1.3316010236740112
31,1.5413950681686401,0.46948355436325073,351,,
31,,,351,8.008612632751465,1.3295615911483765
32,1.5521823167800903,0.4553990662097931,362,,
32,,,362,8.355801582336426,1.3289945125579834
33,1.5535119771957397,0.4577464759349823,373,,
33,,,373,7.330927848815918,1.3293455839157104
34,1.558998942375183,0.44131454825401306,384,,
34,,,384,7.568184852600098,1.3288952112197876
35,1.5482382774353027,0.4647887349128723,395,,
35,,,395,8.148785591125488,1.324596881866455
36,1.5371959209442139,0.47183099389076233,406,,
36,,,406,7.955277442932129,1.32283353805542
37,1.5533678531646729,0.4600938856601715,417,,
37,,,417,7.9065141677856445,1.3216934204101562
38,1.5451653003692627,0.47417840361595154,428,,
38,,,428,7.971369743347168,1.3192002773284912
39,1.5436526536941528,0.47887325286865234,439,,
39,,,439,8.332061767578125,1.316136360168457
40,1.5471057891845703,0.4624413251876831,450,,
40,,,450,7.997126579284668,1.3138893842697144
41,1.5517222881317139,0.4483568072319031,461,,
41,,,461,7.859636306762695,1.3144445419311523
42,1.5570846796035767,0.4577464759349823,472,,
42,,,472,8.365839958190918,1.311787486076355
43,1.5409598350524902,0.47652581334114075,483,,
43,,,483,6.987497329711914,1.316128134727478
44,1.5355252027511597,0.47652581334114075,494,,
44,,,494,6.730191707611084,1.3101824522018433
45,1.5505884885787964,0.4600938856601715,505,,
45,,,505,7.75347900390625,1.3130463361740112
46,1.5524094104766846,0.4647887349128723,516,,
46,,,516,7.518135070800781,1.310775876045227
47,1.5636028051376343,0.44366195797920227,527,,
47,,,527,7.5597639083862305,1.3090994358062744
48,1.5485790967941284,0.4577464759349823,538,,
48,,,538,7.582666873931885,1.3100396394729614
49,1.5433815717697144,0.47417840361595154,549,,
49,,,549,7.7530059814453125,1.307072639465332
50,1.543351173400879,0.47652581334114075,560,,
50,,,560,7.825948238372803,1.304632544517517
51,1.560177206993103,0.43896713852882385,571,,
51,,,571,7.858807563781738,1.3059285879135132
52,1.5601656436920166,0.4507042169570923,582,,
52,,,582,7.601081848144531,1.3052868843078613
53,1.5430084466934204,0.4624413251876831,593,,
53,,,593,7.529071807861328,1.305741548538208
54,1.5385849475860596,0.4600938856601715,604,,
54,,,604,7.7222580909729,1.303504467010498
55,1.545054316520691,0.4553990662097931,615,,
55,,,615,7.61993408203125,1.302738070487976
56,1.5475603342056274,0.47652581334114075,626,,
56,,,626,7.52789306640625,1.3026427030563354
57,1.5522555112838745,0.4483568072319031,637,,
57,,,637,8.120251655578613,1.2991876602172852
58,1.5408519506454468,0.47183099389076233,648,,
58,,,648,7.468613147735596,1.299556851387024
59,1.5475457906723022,0.4577464759349823,659,,
59,,,659,8.204322814941406,1.2988991737365723
60,1.556911826133728,0.4483568072319031,670,,
60,,,670,6.694016456604004,1.30037260055542
61,1.5592983961105347,0.4553990662097931,681,,
61,,,681,7.678144454956055,1.2998998165130615
62,1.5507087707519531,0.4507042169570923,692,,
62,,,692,8.146068572998047,1.2974014282226562
63,1.5426498651504517,0.4671361446380615,703,,
63,,,703,7.995486259460449,1.2962950468063354
64,1.5498435497283936,0.4483568072319031,714,,
64,,,714,7.989428520202637,1.2965306043624878
65,1.5511484146118164,0.4624413251876831,725,,
65,,,725,8.250086784362793,1.295973300933838
66,1.5580103397369385,0.44366195797920227,736,,
66,,,736,8.83529281616211,1.2940237522125244
67,1.5433486700057983,0.4624413251876831,747,,
67,,,747,9.456827163696289,1.2943741083145142
68,1.5462234020233154,0.4600938856601715,758,,
68,,,758,8.487873077392578,1.2934235334396362
69,1.5453332662582397,0.4647887349128723,769,,
69,,,769,8.802434921264648,1.2947958707809448
70,1.5473099946975708,0.4530516564846039,780,,
70,,,780,8.566011428833008,1.2920018434524536
71,1.5520687103271484,0.4553990662097931,791,,
71,,,791,8.54983139038086,1.2940012216567993
72,1.5673816204071045,0.4483568072319031,802,,
72,,,802,8.787883758544922,1.2966266870498657
73,1.5444927215576172,0.47417840361595154,813,,
73,,,813,8.853045463562012,1.2930669784545898
74,1.5445079803466797,0.4577464759349823,824,,
74,,,824,9.75808048248291,1.2914360761642456
75,1.552395224571228,0.46948355436325073,835,,
75,,,835,8.565393447875977,1.291359543800354
76,1.560547113418579,0.4553990662097931,846,,
76,,,846,8.707499504089355,1.2902230024337769
77,1.5619778633117676,0.43427228927612305,857,,
77,,,857,9.47610855102539,1.2939432859420776
78,1.546210527420044,0.4507042169570923,868,,
78,,,868,9.037178039550781,1.2955058813095093
79,1.5497523546218872,0.4671361446380615,879,,
79,,,879,8.906879425048828,1.2904473543167114
80,1.5547771453857422,0.44600939750671387,890,,
80,,,890,8.797796249389648,1.2883944511413574
81,1.549068808555603,0.4577464759349823,901,,
81,,,901,9.15598201751709,1.2878217697143555
82,1.5445743799209595,0.4647887349128723,912,,
82,,,912,9.265604019165039,1.2886531352996826
83,1.5642259120941162,0.4530516564846039,923,,
83,,,923,8.970151901245117,1.2872273921966553
84,1.5339070558547974,0.5023474097251892,934,,
84,,,934,8.74821662902832,1.2899792194366455
85,1.546866774559021,0.4577464759349823,945,,
85,,,945,8.718169212341309,1.2908507585525513
86,1.5420100688934326,0.4671361446380615,956,,
86,,,956,8.75898551940918,1.2893080711364746
87,1.5580708980560303,0.4553990662097931,967,,
87,,,967,8.73067855834961,1.2907252311706543
88,1.5591094493865967,0.44366195797920227,978,,
88,,,978,8.798879623413086,1.2881578207015991
89,1.5418791770935059,0.4624413251876831,989,,
89,,,989,8.8096923828125,1.289362907409668
90,1.550756573677063,0.4577464759349823,1000,,
90,,,1000,8.105318069458008,1.2860842943191528
91,1.553497076034546,0.4577464759349823,1011,,
91,,,1011,8.208206176757812,1.2860342264175415
92,1.5564610958099365,0.4483568072319031,1022,,
92,,,1022,8.945806503295898,1.2869247198104858
93,1.5424268245697021,0.48122066259384155,1033,,
93,,,1033,8.828683853149414,1.2879072427749634
94,1.563425898551941,0.44600939750671387,1044,,
94,,,1044,8.675996780395508,1.2850955724716187
95,1.5525513887405396,0.4600938856601715,1055,,
95,,,1055,8.649712562561035,1.2891706228256226
96,1.5460866689682007,0.47183099389076233,1066,,
96,,,1066,8.45634651184082,1.2880703210830688
97,1.5450395345687866,0.4624413251876831,1077,,
97,,,1077,8.909425735473633,1.2844411134719849
98,1.5453773736953735,0.4671361446380615,1088,,
98,,,1088,8.822956085205078,1.2846195697784424
99,1.555943250656128,0.4530516564846039,1099,,
99,,,1099,8.951756477355957,1.2854005098342896
